id;aggregation;cosistencyCheck;scoreType;countPairs;evalScore
150;majorityWeighted;True;accuracy score;638;0.719435736677116
151;majorityWeighted;True;accuracy score;638;0.4043887147335423
152;majorityWeighted;True;accuracy score;638;0.4592476489028213
153;majorityWeighted;True;accuracy score;638;0.6802507836990596
154;majorityWeighted;True;accuracy score;638;0.725705329153605
155;majorityWeighted;True;accuracy score;638;0.41849529780564265
156;majorityWeighted;True;accuracy score;638;0.4717868338557994
157;majorityWeighted;True;accuracy score;638;0.6755485893416928
158;majorityWeighted;True;accuracy score;638;0.7241379310344828
159;majorityWeighted;True;accuracy score;638;0.43103448275862066
160;majorityWeighted;True;accuracy score;638;0.4827586206896552
161;majorityWeighted;True;accuracy score;638;0.6818181818181818
162;majorityWeighted;True;accuracy score;638;0.7398119122257053
163;majorityWeighted;True;accuracy score;638;0.40752351097178685
164;majorityWeighted;True;accuracy score;638;0.5470219435736677
165;majorityWeighted;True;accuracy score;638;0.6677115987460815
166;majorityWeighted;True;accuracy score;638;0.7476489028213166
167;majorityWeighted;True;accuracy score;638;0.4122257053291536
168;majorityWeighted;True;accuracy score;638;0.5595611285266457
169;majorityWeighted;True;accuracy score;638;0.6849529780564263
170;majorityWeighted;True;accuracy score;638;0.7335423197492164
171;majorityWeighted;True;accuracy score;638;0.4231974921630094
172;majorityWeighted;True;accuracy score;638;0.5626959247648903
173;majorityWeighted;True;accuracy score;638;0.6802507836990596
174;majorityWeighted;True;accuracy score;638;0.7382445141065831
175;majorityWeighted;True;accuracy score;638;0.4278996865203762
176;majorityWeighted;True;accuracy score;638;0.567398119122257
177;majorityWeighted;True;accuracy score;638;0.7021943573667712
178;majorityWeighted;True;accuracy score;638;0.7648902821316614
179;majorityWeighted;True;accuracy score;638;0.44670846394984326
180;majorityWeighted;True;accuracy score;638;0.6206896551724138
181;majorityWeighted;True;accuracy score;638;0.700626959247649
182;majorityWeighted;True;accuracy score;638;0.768025078369906
183;majorityWeighted;True;accuracy score;638;0.46394984326018807
184;majorityWeighted;True;accuracy score;638;0.6175548589341693
185;majorityWeighted;True;accuracy score;638;0.7084639498432602
186;majorityWeighted;True;accuracy score;638;0.7601880877742947
187;majorityWeighted;True;accuracy score;638;0.45454545454545453
188;majorityWeighted;True;accuracy score;638;0.6269592476489029
189;majorityWeighted;True;accuracy score;638;0.7163009404388715
190;majorityWeighted;True;accuracy score;638;0.7539184952978056
191;majorityWeighted;True;accuracy score;638;0.47648902821316613
192;majorityWeighted;True;accuracy score;638;0.6191222570532915
